#lon lat ve vn vu se sn su name
96.83397 -12.18834 0.94256 1.48464 -0.73180 0.23226 0.56327 0.49650 coco
166.41020 -22.26984 0.24146 0.02407 -1.50268 0.30078 0.15899 0.78272 noum
175.85849 -38.97713 -0.07461 -4.35324 -1.80325 0.17977 0.13110 0.76854 tgri
175.99633 -38.81286 2.35064 -6.63267 0.11383 1.77620 0.33794 1.54723 tgho
176.89617 -38.00320 3.70677 -11.64586 -0.37300 0.21792 0.21981 0.77588 rgaw
176.21085 -38.35257 1.33341 -2.93943 -2.07298 0.29064 0.12585 0.76793 rgwv
176.23225 -38.25659 3.16152 -4.78432 -1.88736 0.34012 0.37250 1.06228 rgon
175.13650 -41.34050 -29.67904 -8.97745 -4.49555 0.57105 0.79018 0.50601 bthl
176.37012 -39.64315 -3.73046 -10.82073 -1.63494 0.76189 0.36431 0.76361 kere
170.04809 -45.78191 -29.09084 -12.51742 NaN 0.46136 0.68786 NaN e2k3
169.76638 -45.97028 -28.63838 -12.60994 NaN 0.43402 0.68008 NaN dqyr
175.93930 -38.67343 1.50604 -1.58081 -2.12976 0.17819 0.35070 0.73089 tgwh
176.37800 -38.10470 1.15282 -4.99583 -2.12301 0.45556 0.56535 0.72858 rgcr
184.82078 -21.14471 72.88016 -37.75201 1.00941 0.80916 0.54218 1.00327 tong
153.03530 -27.48489 0.22396 0.37035 -1.49642 0.14621 0.14028 0.49292 sunm
190.07293 -19.07653 -78.51770 8.04258 -0.92920 0.13266 0.46828 0.38637 nium
116.63749 -26.69664 -0.36502 -0.03996 -0.02645 0.59329 0.38741 1.55797 mro1
168.31514 -17.74397 -81.63605 -35.97783 -2.68701 0.65167 0.93499 1.52337 vanu
166.21537 -21.60858 0.54180 0.50005 -1.06432 0.25620 0.26639 0.59367 thio
149.01005 -35.31569 0.26722 -0.06335 -1.34233 0.10866 0.28755 0.27865 str2
188.26158 -13.84921 -86.92408 5.27484 -2.10433 1.12710 0.58116 1.19397 samo
169.92106 -43.70206 -18.05689 -6.79979 4.04529 0.90794 0.68120 0.50239 redd
210.42728 -17.53308 -83.34968 27.53689 -1.66582 0.31861 0.21849 0.36075 pape
178.08260 -37.89398 2.55201 -16.80729 1.92313 0.73522 0.38875 0.49826 paki
167.93883 -29.04334 0.26077 0.00179 -0.90956 0.25836 0.12647 0.49995 norf
169.85252 -43.72079 -17.51043 -7.41948 3.52956 0.42240 0.37354 0.98945 maka
158.93583 -54.49953 -8.14740 -18.80547 -1.50236 0.50508 0.51697 0.47266 mac1
