x,z,y,dy_dx,dy_dz
32.0,-44.0,-12.91070818731365,0.0,-0.0
36.0,-44.0,-12.91070818731365,0.0,-0.0
40.0,-44.0,-12.91070818731365,0.0,-0.0
44.0,-44.0,-12.91070818731365,0.0,-0.0
48.0,-44.0,-12.91070818731365,0.0,-0.0
52.0,-44.0,-12.91070818731365,0.0,-0.0
56.0,-44.0,-12.91070818731365,0.0,-0.0
60.0,-44.0,-12.91070818731365,0.0,-0.0
64.0,-44.0,-12.91070818731365,0.0,-0.0
68.0,-44.0,-12.91070818731365,0.0,-0.0
72.0,-44.0,-12.91070818731365,0.0,-0.0
76.0,-44.0,-12.91070818731365,0.0,-0.0
80.0,-44.0,-12.91070818731365,0.0,-0.0
84.0,-44.0,-12.91070818731365,0.0,-0.0
88.0,-44.0,-12.91070818731365,0.0,-0.0
92.0,-44.0,-12.91070818731365,0.0,-0.0
96.0,-44.0,-12.91070818731365,0.0,-0.0
100.0,-44.0,-12.91070818731365,0.0,-0.0
